"date","rate_prop","rate_prop2","tariff_prop","unemp_prop","inf_p_prop","inf_n_prop","inf_prop","war_prop","trade_p_prop","trade_n_prop","house_prop_d","house_prop","car_prop_d","chip_prop_d","ship_prop_d","inf_prop_d","trade_prop_d"
2015-04-24,0,0,0,0,0,0,0,0.00212539851222104,0.00212539851222104,0,0.00318809776833156,0.00425079702444208,0,0,0,0,0.00212539851222104
2015-04-25,0,0,0,0,0,0,0,0.00898203592814371,0,0,0,0,0,0,0,0,0
2015-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,0,0,0,0,0,0,0,0.00465549348230913,0,0,0,0,0,0,0,0,0
2015-04-28,0,0,0,0,0,0,0,0,0.00225733634311512,0,0,0,0,0,0,0,0.00225733634311512
2015-04-29,0,0,0,0,0,0,0,0.00444444444444444,0,0,0,0,0,0,0,0,0
2015-04-30,0.00133511348464619,0.00133511348464619,0,0,0.00133511348464619,0.00267022696929239,0.00400534045393859,0.00934579439252336,0.00133511348464619,0,0.00133511348464619,0.00133511348464619,0,0,0,-0.00133511348464619,0.00133511348464619
2015-05-01,0.000951474785918173,0.000951474785918173,0,0,0.00285442435775452,0,0.00856327307326356,0.00285442435775452,0.00380589914367269,0.00475737392959087,0.000951474785918173,0.00285442435775452,0,0,0,0.00285442435775452,-0.000951474785918173
2015-05-02,0,0,0,0,0,0,0.0235294117647059,0,0.0235294117647059,0,0,0,0,0,0,0,0.0235294117647059
2015-05-03,0,0,0,0,0,0,0,0.00422832980972516,0.00422832980972516,0.00211416490486258,0,0,0,0,0,0,0.00211416490486258
2015-05-04,0.000858369098712446,0,0,0,0.000858369098712446,0.000858369098712446,0.00257510729613734,0.00429184549356223,0.00429184549356223,0.00429184549356223,0,0.00171673819742489,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0.00347222222222222,0.00115740740740741,0.00462962962962963,0,0,0.00115740740740741,0,0,0,0,0.00462962962962963
2015-05-06,0,0,0,0,0.00145560407569141,0,0.00218340611353712,0.00145560407569141,0.00218340611353712,0,0,0.00291120815138282,0,0,0,0.00145560407569141,0.00218340611353712
2015-05-07,0,0.00101419878296146,0,0,0.00101419878296146,0.00101419878296146,0.00202839756592292,0.00304259634888438,0,0,0,0,0,0,0,0,0
2015-05-08,0,0,0,0,0,0,0,0.00433839479392625,0,0,0,0,0,0,0,0,0
2015-05-09,0,0,0,0,0,0,0,0.00378787878787879,0,0.00378787878787879,0,0,0,0,0,0,-0.00378787878787879
2015-05-10,0,0,0,0,0.00215982721382289,0,0.00215982721382289,0.00431965442764579,0,0,0,0.00215982721382289,0,0,0,0.00215982721382289,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0.00076103500761035,0,0,0,0,0,0,0.0045662100456621,0.0015220700152207,0.0015220700152207,0.00076103500761035,0.00228310502283105,0,0,0,0,0
2015-05-13,0,0,0,0.00133868808567604,0.000669344042838019,0.00200803212851406,0.00401606425702811,0.00200803212851406,0.00133868808567604,0.00401606425702811,0,0.000669344042838019,0.000669344042838019,0,0,-0.00133868808567604,-0.00267737617135207
2015-05-14,0,0.000745712155108128,0,0.000745712155108128,0.000745712155108128,0,0.000745712155108128,0.00745712155108128,0,0.000745712155108128,0,0,0,0,0,0.000745712155108128,-0.000745712155108128
2015-05-15,0.00552995391705069,0.00184331797235023,0.00184331797235023,0,0,0,0,0.0138248847926267,0.000921658986175115,0.000921658986175115,0,0.000921658986175115,0,0,0,0,0
2015-05-16,0.00835654596100279,0.00278551532033426,0,0,0,0,0,0.00835654596100279,0.00278551532033426,0,0,0,0,0,0,0,0.00278551532033426
2015-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-18,0.0016273393002441,0.0016273393002441,0,0,0,0,0,0.0032546786004882,0,0.00244100895036615,0,0.0016273393002441,0,0,0,0,-0.00244100895036615
2015-05-19,0,0,0,0,0,0,0.0035778175313059,0.00536672629695885,0.00178890876565295,0.00178890876565295,0.00178890876565295,0.0035778175313059,0,0,0,0,0
2015-05-20,0,0,0,0,0,0,0,0.00155038759689922,0,0,0,0.00155038759689922,0,0,0,0,0
2015-05-21,0.00131752305665349,0,0,0,0.000658761528326746,0,0.000658761528326746,0.00922266139657444,0,0.000658761528326746,-0.000658761528326746,0.00131752305665349,0,0.00131752305665349,0,0.000658761528326746,-0.000658761528326746
2015-05-22,0,0,0,0,0,0,0.00179856115107914,0.00899280575539568,0,0.00179856115107914,0,0.00359712230215827,0,0,0,0,-0.00179856115107914
2015-05-23,0,0,0,0,0,0,0,0.00245700245700246,0.00491400491400491,0,0,0,0,0,0,0,0.00491400491400491
2015-05-24,0,0,0,0,0,0,0,0.0113895216400911,0,0,0,0,0,0,0,0,0
2015-05-25,0.0014265335235378,0,0,0,0,0,0,0.00713266761768902,0,0,0,0,0,0,0,0,0
2015-05-26,0,0,0,0,0,0,0,0.004,0.004,0.004,0,0.008,0,0,0,0,0
2015-05-27,0,0,0,0,0,0,0,0.00803212851405622,0.0160642570281124,0,0,0,0,0,0,0,0.0160642570281124
2015-05-28,0,0,0,0,0,0,0.000791765637371338,0.00158353127474268,0.000791765637371338,0.000791765637371338,0,0.000791765637371338,0.00158353127474268,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0.00894854586129754,0,0.00447427293064877,0,0,0,0,0,0,-0.00447427293064877
2015-05-30,0,0,0,0,0,0,0,0.00840336134453781,0,0.00280112044817927,0,0,0,0,0,0,-0.00280112044817927
2015-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0.0018348623853211,0.00825688073394495,0.000917431192660551,0.00642201834862385,0,0.000917431192660551,0,0,0,0,-0.0055045871559633
2015-06-02,0,0,0,0,0.00312989045383412,0,0.00704225352112676,0.0109546165884194,0.00234741784037559,0.000782472613458529,0,0.000782472613458529,0,0,0,0.00312989045383412,0.00156494522691706
2015-06-03,0,0,0,0,0.0016025641025641,0,0.00320512820512821,0.00641025641025641,0,0.000801282051282051,0.000801282051282051,0.000801282051282051,0,0,0,0.0016025641025641,-0.000801282051282051
2015-06-04,0,0,0,0,0,0,0.00105820105820106,0.00423280423280423,0,0.00105820105820106,0,0.00105820105820106,0.00105820105820106,0,0,0,-0.00105820105820106
2015-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0,0.00386100386100386,0.00772200772200772,0,0.00386100386100386,0,0,0,0,0,0,-0.00386100386100386
2015-06-07,0,0,0,0,0,0,0,0,0,0.00552486187845304,0,0,0,0,0,0,-0.00552486187845304
2015-06-08,0,0.00119904076738609,0,0,0.00119904076738609,0,0.00119904076738609,0.00719424460431655,0,0.00239808153477218,0.00119904076738609,0.00239808153477218,0,0,0,0.00119904076738609,-0.00239808153477218
2015-06-09,0,0,0,0,0,0,0,0.00254452926208651,0,0,0,0,0,0,0,0,0
2015-06-10,0,0,0,0.000868809730668983,0,0,0,0.000868809730668983,0,0,0,0.00260642919200695,0,0.000868809730668983,0,0,0
2015-06-11,0.00696055684454756,0.00116009280742459,0,0.00116009280742459,0,0,0,0.00348027842227378,0.00232018561484919,0,0,0,0,0,0,0,0.00232018561484919
2015-06-12,0.00103950103950104,0.00311850311850312,0,0,0.0051975051975052,0,0.0051975051975052,0.00103950103950104,0.00207900207900208,0,0,0,0,0,0,0.0051975051975052,0.00207900207900208
2015-06-13,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0
2015-06-14,0,0,0,0,0,0,0,0.010840108401084,0.002710027100271,0.002710027100271,0,0,0,0,0,0,0
2015-06-15,0,0.0050125313283208,0,0,0,0,0,0.0025062656641604,0,0.0025062656641604,0,0,0,0,0,0,-0.0025062656641604
2015-06-16,0,0,0,0,0,0,0,0.00592885375494071,0.000988142292490119,0,0.00197628458498024,0.00197628458498024,0,0,0,0,0.000988142292490119
2015-06-17,0,0,0,0,0.00158604282315623,0,0.00158604282315623,0.00396510705789056,0.000793021411578113,0.000793021411578113,0,0.00237906423473434,0,0.000793021411578113,0,0.00158604282315623,0
2015-06-18,0.00306122448979592,0.00204081632653061,0,0,0.00102040816326531,0,0.00102040816326531,0.00408163265306122,0,0,0,0.00102040816326531,0,0,0,0.00102040816326531,0
2015-06-19,0.00448430493273543,0,0,0,0.00448430493273543,0,0.00448430493273543,0.00448430493273543,0,0,0,0.00448430493273543,0,0,0,0.00448430493273543,0
2015-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,0,0,0,0,0,0,0,0.0151515151515152,0,0,0,0,0.0151515151515152,0,0,0,0
2015-06-22,0.00112485939257593,0.00112485939257593,0,0,0,0,0,0.00674915635545557,0.00112485939257593,0.00112485939257593,0,0.00112485939257593,0,0,0,0,0
2015-06-23,0,0,0,0,0,0,0.00239234449760766,0.0143540669856459,0,0.00239234449760766,0,0.00478468899521531,0,0,0,0,-0.00239234449760766
2015-06-24,0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0
2015-06-25,0,0.00289645184648805,0,0.000724112961622013,0,0,0,0.0253439536567705,0.00144822592324403,0,0,0.000724112961622013,0,0,0,0,0.00144822592324403
2015-06-26,0,0,0,0,0,0,0,0.005,0,0,0.005,0.005,0,0,0,0,0
2015-06-27,0,0,0,0,0,0,0,0.00836820083682008,0,0,0,0,0,0,0,0,0
2015-06-28,0,0,0,0,0,0,0,0.016260162601626,0,0,0,0,0,0,0,0,0
2015-06-29,0,0,0,0,0,0,0,0.00514933058702369,0.00102986611740474,0,0,0,0,0,0,0,0.00102986611740474
2015-06-30,0,0,0,0,0,0,0,0.00737100737100737,0,0.00491400491400491,0.00245700245700246,0.00245700245700246,0,0,0,0,-0.00491400491400491
2015-07-01,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0.00420168067226891,0,0,0,0,-0.00840336134453781
2015-07-02,0,0,0,0,0,0,0,0,0.00732600732600733,0,0,0,0,0,0,0,0.00732600732600733
2015-07-03,0,0,0,0,0,0,0,0.0026246719160105,0.0026246719160105,0,0,0.000874890638670166,0,0,0,0,0.0026246719160105
2015-07-04,0,0,0,0,0,0,0,0.00835654596100279,0,0,0,0,0,0,0,0,0
2015-07-05,0,0,0,0,0,0,0.0018018018018018,0.00540540540540541,0,0.0018018018018018,0,0.00540540540540541,0,0,0,0,-0.0018018018018018
2015-07-06,0,0,0,0,0,0,0,0,0.0128755364806867,0,0,0.00429184549356223,0,0,0,0,0.0128755364806867
2015-07-07,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0.00555555555555556,0,0,0
2015-07-08,0,0,0,0,0,0,0,0.00349956255468067,0.00174978127734033,0,0,0.000874890638670166,0,0,0,0,0.00174978127734033
2015-07-09,0.00483091787439614,0,0,0,0.000966183574879227,0,0.000966183574879227,0.00193236714975845,0.000966183574879227,0.000966183574879227,0,0,0,0,0,0.000966183574879227,0
