"date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2015-06-13,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,0,0,0.010840108401084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,0,0,0.00592885375494071,0.000988142292490119,0,0,0,0,0.000988142292490119,0,0,0,0,0,0,0,0,0
2015-06-17,0,0,0.00396510705789056,0,0,0,0.000793021411578113,0,0.00555114988104679,0,0,0,0,0.00237906423473434,0,0,0,0
2015-06-18,0.00306122448979592,0,0.00408163265306122,0.00102040816326531,0,0,0,0,0.00102040816326531,0,0,0,0,0.00102040816326531,0,0,0,0
2015-06-19,0.00448430493273543,0,0.00448430493273543,0.00448430493273543,0,0,0,0,0,0,0,0,0,0.00896860986547085,0,0,0,0
2015-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,0,0,0.0151515151515152,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,0.00112485939257593,0,0.00674915635545557,0,0,0,0,0,0.00337457817772778,0,0,0,0,0.00112485939257593,0,0,0,0
2015-06-23,0,0,0.0143540669856459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,0,0,0.0253439536567705,0,0,0,0,0,0.00144822592324403,0.000724112961622013,0,0,0,0.000724112961622013,0,0,0,0
2015-06-26,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
2015-06-27,0,0,0.00836820083682008,0,0,0,0,0,0.00209205020920502,0,0,0,0,0,0,0,0,0
2015-06-28,0,0,0.016260162601626,0,0,0,0,0,0,0,0.00813008130081301,0,0,0,0,0,0,0
2015-06-29,0,0,0.00514933058702369,0,0,0,0,0,0.00102986611740474,0.00102986611740474,0,0,0,0.00102986611740474,0,0,0,0
2015-06-30,0,0,0.00737100737100737,-0.00491400491400491,0,0,0,0,0,0,0,0,0,0.00245700245700246,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336134453781,0,0,0,0
2015-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,0,0,0.0026246719160105,0,0,0,0,0,0,0,-0.000874890638670166,0.000874890638670166,0,0.000874890638670166,0,0,0,0
2015-07-04,0,0,0.00835654596100279,0,0,0,0,0,0.00278551532033426,0,0,0,0,0.00278551532033426,0,0,0,0
2015-07-05,0,0,0.00540540540540541,0,0,0,0,0,0.0018018018018018,0,0,0,0,0.0018018018018018,0,0,0,0
2015-07-06,0,0,0,0,0,0,0,0,0,0,0.00429184549356223,0,0,0,0,0,0,0
2015-07-07,0,0,0.00555555555555556,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,0,0,0.00349956255468067,0,0,0,0,0,0.0026246719160105,0,0,0,0,0.00174978127734033,0,0,0,0
2015-07-09,0.00483091787439614,0,0.00193236714975845,0.000966183574879227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,0,0,0.0037037037037037,0.0037037037037037,0,0,0,0,0,0,0,0,0,0.0037037037037037,0,0,0,0
2015-07-11,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00263157894736842,0,0
2015-07-14,0,0,0.00628930817610063,0,0,0,0,0,0.00251572327044025,0,0.00125786163522013,0,0,0,0,0,0,0
2015-07-15,0,0,0.00405186385737439,0,0,0,0,0,0,0.00324149108589951,0.00324149108589951,0.00324149108589951,0,0.000810372771474878,0,0,0,0
2015-07-16,0,0,0.00771869639794168,0,0,0,0,-0.000857632933104631,0,0.000857632933104631,0.000857632933104631,0.00171526586620926,-0.000857632933104631,0,0,0,0,0
2015-07-17,0,0,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,0,0,0.0118577075098814,0,0,0,0,0,0,0,0,0.00395256916996047,0,0,0,0,0,0
2015-07-19,0,0,0.0141414141414141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,0,0,0.00775862068965517,0,0,0,0,0,0,0,0.000862068965517241,0,0,0,0,0,0,0
2015-07-21,0,0,0.00882825040128411,0,0,0,0,0,0.00160513643659711,0.000802568218298555,0,0,0,0.000802568218298555,0,0,0,-0.000802568218298555
2015-07-22,0,0,0.00398406374501992,0,0,0,0,0,0.0119521912350598,0,0,0,0,0,0,0,0,0
2015-07-23,0,0,0,0,0,0,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0
2015-07-24,0,0,0.00196850393700787,0.00196850393700787,0,0.000984251968503937,0,0,0,0,0.000984251968503937,0,0,0.000984251968503937,0,0,0,-0.000984251968503937
2015-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-27,0,0,0.0145322434150772,0,0,0,0,0,0.000908265213442325,0,0,0,0,0.000908265213442325,0,0,0,0
2015-07-28,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-29,0,0,0.0294117647058824,0,0,0,0,0,0,0,0.00588235294117647,0,0,0,0,0,0,0
2015-07-30,0.0068359375,0,0.0078125,0,0,0,0,0,0.0009765625,0,0,0,0,0,0,0,0,0
2015-07-31,0,0,0.0197044334975369,0,0,0,0,0,0.00985221674876847,0,0,0,-0.00492610837438424,0,0,0,0,0
2015-08-01,0,0,0.0132013201320132,0.0033003300330033,0,0,0,0,0,0,0,0,-0.0033003300330033,0,0,0,0,0
2015-08-02,0,0,0.0159010600706714,0,0,0,0,0,0.00176678445229682,0,0,0,0,0,0,0,0,0
2015-08-03,0,0,0.0177514792899408,0,0,0,0,0,0.0029585798816568,0.0029585798816568,0.00591715976331361,0,0,0,0,0,0,0
